# 0x1 unused
0x2 ank1a
0x3 ank1b
0x4 ank2a
0x5 ank2b
# 0xee29 - 0xee2e unused
0xee2f TintaVermelha alchemy
# 0xee30 unused
0xee31 TintaBege alchemy
0xee32 TintaAzul alchemy
0xee33 TintaMarrom alchemy
0xee34 TintaPreta alchemy
0xee35 TintaVerde alchemy
0xee36 madeirapinheiro gathering
0xee37 madeiracarvalho gathering
0xee38 madeiranogueira gathering
0xee39 madeirasalgueiro gathering
0xee3a madeirasipestre gathering
0xee3b madeiranegra gathering
0xee3c madeiracogumelo gathering
# 0xee3d - 0xee44 unused
0xee45 courocurtido domesticwork
0xee46 entranhas survival
0xee47 cordadearco domesticwork
0xee48 kitdetrico domesticwork
# 0xee49 - 0xee4c unused
0xee4d Stew1 food
# 0xee4e unused
0xee4f Alecake food
0xee50 ElvenBread food
0xee51 pelebege survival
0xee52 pelebranca survival
0xee53 pelemarrom survival
0xee54 pelecinza survival
0xee55 pelecinzacurtida domesticwork
0xee56 pelemarromcurtida domesticwork
0xee57 pelebegecurtida domesticwork
0xee58 pelebrancacurtida domesticwork
0xee59 cabecadeogro survival
0xee5a cabecadetroll survival
0xee5b cabecadeciclope survival
0xee5c cabecadeettin survival
0xee5d cabecadetitan survival
0xee5e cabecadebruto survival
0xee5f RabbitStew food
# 0xee60 - 0xee65 unused
0xee66 boardpinheiro fls_carpentry
0xee67 boardcarvalho fls_carpentry
0xee68 boardnogueira fls_carpentry
0xee69 boardsalgueiro fls_carpentry
# 0xee6a - 0xee6f unused
0xee70 boardsipestre fls_carpentry
0xee71 cabo fls_carpentry
0xee72 pregos fls_carpentry
0xee73 boardescuro fls_carpentry
0xee74 boardcogumelo fls_carpentry
# 0xee75 - 0xee8f unused
0xee90 gumpcriacao charactercreation
# 0xee91 - 0xee98 unused
0xee99 formulanoventa alchemy
# 0xee9a - 0xeeef unused
0xeef0 CombineCloth domesticwork
# 0xeef1 - 0xef01 unused
0xef02 vomit vomit
# 0xef03 - 0xef10 unused
0xef11 couroescamoso survival
0xef12 couroespesso survival
# 0xef13 unused
0xef14 couroaspero survival
0xef15 couropeludo survival
0xef16 courotroll survival
0xef17 couropolar survival
0xef18 courogigante survival
0xef19 couroterathan survival
0xef1a ferraodewyvern alchemy
0xef1b ferraodeescorpiao alchemy
0xef1c glanduladearanha alchemy
0xef1d glanduladecobra alchemy
0xef1e gravedust alchemy
0xef1f alchemyrecipe alchemy
0xef20 couroescamosocurtido domesticwork
0xef21 couroespessocurtido domesticwork
0xef22 couroanfibiocurtido domesticwork
0xef23 couroasperocurtido domesticwork
0xef24 couropeludocurtido domesticwork
0xef25 courotrollcurtido domesticwork
0xef26 couropolarcurtido domesticwork
0xef27 courogigantecurtido domesticwork
0xef28 couroterathancurtido domesticwork
0xef29 ossodourado survival
# 0xef2a - 0xef2f unused
0xef30 ossovermelho survival
0xef31 ossopreto survival
0xef32 ossocinza survival
0xef33 escamasbrancas survival
0xef34 escamasnegras survival
0xef35 escamasverdes survival
0xef36 escamasazuis survival
0xef37 escamasvermelhas survival
# 0xef38 - 0xef5f unused
0xef60 FogoGregoLeve alchemy
0xef61 FogoGregoMedio alchemy
0xef62 FogoGregoForte alchemy
# 0xef63 - 0xefef unused
0xeff0 TintaAzul1 alchemy
0xeff1 TintaAzul2 alchemy
0xeff2 TintaBege1 alchemy
0xeff3 TintaBege2 alchemy
0xeff4 TintaMarrom1 alchemy
0xeff5 TintaMarrom2 alchemy
0xeff6 TintaPreta1 alchemy
0xeff7 TintaPreta2 alchemy
0xeff8 TintaVerde1 alchemy
0xeff9 TintaVerde2 alchemy
0xeffa TintaVermelha1 alchemy
0xeffb TintaVermelha2 alchemy
0xeffc TintaAzulClaro alchemy
0xeffd BankBox containers
0xeffe TintaAzulClaro2 alchemy
0xefff CorpseRemains containers
# 0xf000 - 0xf021 unused
0xf022 PuzzleChest mastermind
# 0xf023 - 0xf124 unused
0xf125 wool domesticwork
# 0xf126 - 0xfddd unused
0xfdde bandages medicine
# 0xfddf - 0xff03 unused
0xff04 Caixa grande lacrada destroyable
# 0xff05 - 0xff0f unused
0xff10 raceportal fls_core
# 0xff11 - 0xff96 unused
0xff97 armadilhafogo traps
0xff98 armadilhaflecha traps
0xff99 atrairinimigo traps
0xff9a beartrap traps
# 0xff9b - 0xffe0 unused
0xffe1 mushrooms2 food
# 0xffe2 - 0xffe6 unused
0xffe7 aljavacintura woodworking
# 0xffe8 - 0x10fff unused
0x11000 SmallBoat boat
# 0x11001 - 0x11003 unused
0x11004 SmallDragonBoat boat
# 0x11005 - 0x11007 unused
0x11008 MediumBoat boat
# 0x11009 - 0x1100b unused
0x1100c MediumDragonBoat boat
# 0x1100d - 0x1100f unused
0x11010 LargeBoat boat
# 0x11011 - 0x11013 unused
0x11014 LargeDragonBoat boat
# 0x11015 - 0x11fff unused
0x12000 PedraAventureiro charactercreation
# 0x12001 - 0x1f00f unused
0x1f010 Tillerman boat
0x1f011 gangplank boat
0x1f012 gangplank2 boat
0x1f013 Hold containers
# 0x1f014 - 0x1f01f unused
0x1f020 Intrinsic Weapon
0x1f021 mount mounts
0x1f022 intrinsicshield
# 0x1f023 - 0x1ff00 unused
0x1ff01 SecureTradeContainer containers
0x1ff02 WornItemsContainer containers
# 0x1ff03 - 0xeefed unused
0xeefee protectedarea ambience
0xeefef ambiencerune ambience
# 0xeeff0 - 0xfe994 unused
0xfe995 recipe2 recipes
0xfe996 recipe3 recipes
# 0xfe997 - 0xff98f unused
0xff990 recipe1 recipes
0xff991 recipe2 tn
0xff992 recipe3 tn
0xff993 olhonegro tn
0xff994 pergaminhodrider tn
0xff995 combatrecipe tn
# 0xff996 - 0xeefefd unused
0xeefefe tocamusica ambience
# 0xeefeff - 0xffffffff unused
